name-year,pos,name,weight,height,Age,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,year,Player,Current_Sal,Next_Sal,min_sal_curr,min_sal_next,sal_cap_curr,sal_cap_next,height_ft
Jason_Terry_2016,G,Jason-Terry,185,6-2,39.0,74.0,0.0,18.4,0.432,1.0,0.427,2.3,0.3,0.828,0.4,0.2,1.4,1.3,0.6,0.3,0.5,4.1,9.8,0.6,2016,Jason Terry,1.8528004718991322,2.6416909966193374,875000.0,1313000.0,94143000.0,99093000.0,6.166666666666667
Alan_Williams_2016,F-C,Alan-Williams,265,6-8,24.0,47.0,0.0,15.1,0.517,0.0,0.0,0.0,1.5,0.625,2.4,2.0,6.2,0.5,0.6,0.7,0.8,7.4,20.9,0.547,2016,Alan Williams,1.0443828144843483,6.8065756410644545,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
Matt_Barnes_2016,F,Matt-Barnes,226,6-7,36.0,74.0,18.0,24.0,0.391,1.2,0.331,3.6,0.9,0.787,1.2,0.9,5.2,2.6,0.6,0.4,1.4,7.1,15.6,0.514,2016,Matt Barnes,7.771472858460003,7.261056368764696,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
Jonathon_Simmons_2016,G-F,Jonathon-Simmons,195,6-6,27.0,78.0,8.0,17.8,0.42,0.4,0.294,1.3,1.3,0.75,1.7,0.3,2.1,1.6,0.6,0.3,1.0,6.2,18.0,0.504,2016,Jonathon Simmons,1.0443828144843483,7.146904423117678,875000.0,1313000.0,94143000.0,99093000.0,6.5
Jamal_Crawford_2016,G,Jamal-Crawford,185,6-5,36.0,82.0,1.0,26.3,0.413,1.4,0.36,3.9,2.1,0.857,2.5,0.2,1.6,2.6,0.7,0.2,1.6,12.3,22.7,0.525,2016,Jamal Crawford,15.825118075353451,17.32359944161545,875000.0,1313000.0,94143000.0,99093000.0,6.416666666666667
Raymond_Felton_2016,G,Raymond-Felton,205,6-1,32.0,80.0,11.0,21.3,0.43,0.6,0.319,1.8,0.6,0.781,0.8,0.4,2.7,2.4,0.8,0.3,1.0,6.7,16.5,0.496,2016,Raymond Felton,1.8528004718991322,2.6416909966193374,875000.0,1313000.0,94143000.0,99093000.0,6.083333333333333
Luke_Babbitt_2016,F,Luke-Babbitt,225,6-9,27.0,68.0,55.0,15.7,0.402,1.3,0.414,3.1,0.2,0.733,0.2,0.2,2.1,0.5,0.3,0.2,0.4,4.8,13.0,0.563,2016,Luke Babbitt,1.4654741022062183,2.239543760164694,875000.0,1313000.0,94143000.0,99093000.0,6.75
Michael_Beasley_2016,F,Michael-Beasley,235,6-9,28.0,56.0,6.0,16.7,0.532,0.3,0.419,0.8,1.4,0.743,1.9,0.7,3.4,0.9,0.5,0.5,1.2,9.4,25.3,0.584,2016,Michael Beasley,1.676019746067153,2.401535722704934,875000.0,1313000.0,94143000.0,99093000.0,6.75
Rudy_Gay_2016,F,Rudy-Gay,250,6-8,30.0,30.0,30.0,33.8,0.455,1.4,0.372,3.8,3.9,0.855,4.6,1.2,6.3,2.8,1.5,0.9,2.5,18.7,25.8,0.559,2016,Rudy Gay,15.921027541739695,9.5360124731313,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
Lavoy_Allen_2016,F-C,Lavoy-Allen,260,6-9,27.0,61.0,5.0,14.3,0.458,0.0,0.0,0.0,0.4,0.697,0.5,1.7,3.6,0.9,0.3,0.4,0.5,2.9,10.9,0.485,2016,Lavoy Allen,4.179269834188416,3.970502457287598,875000.0,1313000.0,94143000.0,99093000.0,6.75
Dion_Waiters_2016,G,Dion-Waiters,215,6-3,25.0,46.0,43.0,30.1,0.424,1.8,0.395,4.7,1.8,0.646,2.8,0.4,3.3,4.3,0.9,0.4,2.2,15.8,26.3,0.507,2016,Dion Waiters,3.460435422708008,13.726594209479984,875000.0,1313000.0,94143000.0,99093000.0,6.25
