Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
anthonydavis,Anthony Davis,109,C,28,LAL,26,26,36.0,9.5,18.3,0.52,0.4,2.1,0.182,9.1,16.2,0.564,0.531,4.5,6.2,0.725,2.8,7.4,10.2,3.0,1.2,2.1,2.2,2.3,23.8,1.0,0.8666666666666667,1296.0,566.44,32.30713772279966,35.36136
eddavis,Ed Davis,110,C,32,CLE,10,2,9.6,0.9,1.2,0.75,0.0,0.0,0.0,0.9,1.2,0.75,0.75,0.1,0.4,0.25,0.5,2.7,3.2,0.1,0.2,0.6,0.3,1.2,1.9,0.2,0.3333333333333333,92.16,3.61,3.554601455403113,2.641691
terencedavis,Terence Davis,111,SG,24,SAC,20,7,17.3,3.5,8.5,0.414,1.4,4.8,0.295,2.1,3.7,0.568,0.497,0.8,1.0,0.75,0.3,2.7,3.0,1.0,0.8,0.4,1.3,2.5,9.2,0.35,0.6666666666666666,299.29,84.63999999999999,3.5803258768567847,4.0
gabrieldeck,Gabriel Deck,112,PF,26,OKC,6,0,7.5,1.0,2.0,0.5,0.2,0.5,0.333,0.8,1.5,0.556,0.542,0.0,0.0,0.766,0.2,0.7,0.8,0.5,0.2,0.0,0.3,0.3,2.2,0.0,0.2,56.25,4.840000000000001,1.992730652545423,3.67
dewaynededmon,Dewayne Dedmon,113,C,32,MIA,29,11,16.9,2.5,4.3,0.571,0.3,0.5,0.6,2.2,3.8,0.568,0.607,1.0,1.3,0.789,1.9,4.3,6.2,0.9,0.4,0.4,0.9,2.2,6.3,0.3793103448275862,0.9666666666666667,285.60999999999996,39.69,3.461425205186226,5.256308
samdekker,Sam Dekker,114,PF,27,TOR,1,0,1.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,6.059719869298557,0.35
demarderozan,DeMar DeRozan,115,PF,32,CHI,24,24,35.3,9.5,19.0,0.498,0.8,2.5,0.333,8.6,16.5,0.523,0.52,6.6,7.5,0.888,0.6,4.7,5.3,4.1,0.9,0.4,2.0,2.3,26.4,1.0,0.8,1246.0899999999997,696.9599999999999,36.1914353060521,26.0
hamidoudiallo,Hamidou Diallo,116,SG,23,DET,19,2,15.7,2.8,5.3,0.525,0.3,1.2,0.273,2.5,4.2,0.595,0.554,1.1,1.4,0.741,0.9,2.1,3.0,0.8,0.6,0.5,0.6,1.8,6.9,0.10526315789473684,0.6333333333333333,246.48999999999998,47.61000000000001,2.968733588144651,5.2
gorguidieng,Gorgui Dieng,117,C,32,ATL,23,0,8.3,0.9,2.1,0.438,0.4,1.0,0.375,0.5,1.0,0.5,0.531,0.5,0.7,0.688,0.9,2.3,3.2,0.7,0.3,0.3,0.6,1.5,2.7,0.0,0.7666666666666667,68.89000000000001,7.290000000000001,3.671574551294644,4.0
spencerdinwiddie,Spencer Dinwiddie,118,PG,28,WAS,25,25,29.5,4.4,11.4,0.387,1.6,5.0,0.328,2.8,6.4,0.434,0.46,2.3,2.8,0.841,0.7,4.2,4.9,5.1,0.4,0.2,1.6,2.4,12.8,1.0,0.8333333333333334,870.25,163.84000000000003,15.988749802625652,17.142857
lukadoncic,Luka Doncic,119,PG,22,DAL,21,21,35.0,9.5,21.3,0.447,2.7,8.3,0.326,6.8,13.0,0.526,0.511,3.9,5.5,0.698,0.8,7.2,8.0,8.5,1.0,0.5,4.6,2.5,25.6,1.0,0.7,1225.0,655.3600000000001,35.947885059415796,10.174391
luguentzdort,Luguentz Dort,120,SF,22,OKC,25,25,32.2,5.8,13.7,0.423,2.5,7.5,0.332,3.3,6.2,0.532,0.513,2.9,3.4,0.837,0.7,3.1,3.8,1.8,0.8,0.4,1.6,2.8,17.0,1.0,0.8333333333333334,1036.8400000000001,289.0,17.236407767204838,1.782621
ayodosunmu,Ayo Dosunmu,121,SG,22,CHI,25,2,17.9,2.4,4.8,0.504,0.7,1.6,0.415,1.8,3.2,0.55,0.574,0.4,0.8,0.579,0.5,1.6,2.1,1.2,0.4,0.2,0.8,1.5,6.0,0.08,0.8333333333333334,320.40999999999997,36.0,2.9300819781962533,0.925258
devondotson,Devon Dotson,122,PG,22,CHI,5,0,9.6,1.0,2.4,0.417,0.2,1.0,0.2,0.8,1.4,0.571,0.458,1.0,1.6,0.625,0.2,1.0,1.2,0.8,0.0,0.0,0.2,1.0,3.2,0.0,0.16666666666666666,92.16,10.240000000000002,2.0481971901385583,
sekoudoumbouya,Sekou Doumbouya,123,PF,21,LAL,2,0,8.0,2.5,4.0,0.625,0.5,1.0,0.5,2.0,3.0,0.667,0.688,1.5,2.0,0.75,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0,0.0,0.06666666666666667,64.0,49.0,-0.9353738831393299,
jeffdowtin,Jeff Dowtin,124,PG,24,GSW,3,0,3.3,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.0,0.0,0.766,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.1,10.889999999999999,1.6900000000000002,4.9681789061083075,
pjdozier,PJ Dozier,125,SG,25,DEN,18,0,18.9,2.0,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4,0.0,0.6,357.2099999999999,29.160000000000004,3.3689525430231595,
gorandragic,Goran Dragic,126,PG,35,TOR,5,2,18.0,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4.0,0.45,0.441,2.0,2.0,1.0,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0,0.4,0.16666666666666666,324.0,64.0,4.421565903283054,19.44
andredrummond,Andre Drummond,127,C,28,PHI,28,11,19.9,2.5,5.0,0.496,0.0,0.0,0.0,2.5,5.0,0.5,0.496,1.1,2.0,0.564,3.1,6.4,9.5,1.9,1.0,1.1,1.7,2.5,6.1,0.39285714285714285,0.9333333333333333,396.00999999999993,37.209999999999994,5.934363502440163,2.401537
chrisduarte,Chris Duarte,128,SG,24,IND,28,22,29.1,5.0,11.9,0.422,1.8,5.3,0.34,3.2,6.6,0.486,0.497,1.0,1.4,0.744,0.5,3.5,4.0,2.0,1.0,0.1,1.7,1.8,12.8,0.7857142857142857,0.9333333333333333,846.8100000000001,163.84000000000003,11.44899558955692,3.74952
davidduke,David Duke,129,G,22,BRK,3,1,22.7,2.7,8.3,0.32,0.3,3.0,0.111,2.3,5.3,0.438,0.34,0.7,1.0,0.667,2.7,3.3,6.0,1.3,1.0,0.7,0.0,2.7,6.3,0.3333333333333333,0.1,515.29,39.69,5.755325093136774,
kevindurant,Kevin Durant,130,PF,33,BRK,26,26,36.9,10.7,20.5,0.523,1.8,4.9,0.375,8.8,15.5,0.569,0.568,6.3,7.2,0.882,0.5,7.3,7.8,5.8,0.7,0.8,3.2,1.8,29.6,1.0,0.8666666666666667,1361.61,876.1600000000001,45.47669356910897,40.9189
